name,author,category,rank,read,link
The Design of Everyday Things,Donald Norman,design,4,,http://www.amazon.com/gp/product/0465067107?colid=RRGQ6P3CAW8K&coliid=I1T2B5KNMNIVFQ&ref_=wl_it_dp_o_pC_nS_ttl
i -- six nonlectures,e e cummings,self-improvement,5,,http://www.amazon.com/gp/product/0674440102?colid=RRGQ6P3CAW8K&coliid=I12YQB45QO5D&ref_=wl_it_dp_o_pC_S_ttl
Nova Express,William S. Burroughs,science-fiction,5,,http://www.amazon.com/gp/product/0802122086?colid=FPQHKBWL424H&coliid=IZ1TDATGXVI86&ref_=wl_it_dp_o_pC_S_ttl
1004,Ben Lerner,fiction,4,,http://www.amazon.com/gp/product/0865478104?colid=FPQHKBWL424H&coliid=IL3UIS6DOI1PD&ref_=wl_it_dp_o_pd_nS_ttl
NW: A Novel,Zadie Smith,fiction,3,,http://www.amazon.com/gp/product/0143123939?colid=FPQHKBWL424H&coliid=I2RTCU2CEHC6BV&ref_=wl_it_dp_o_pd_nS_ttl
The Conniesseur,Evan Connell,fiction,3,,http://www.amazon.com/gp/product/1593760620?colid=FPQHKBWL424H&coliid=IT5CGW94G9XX7&ref_=wl_it_dp_o_pC_S_ttl
Pale Fire,Vladimir Nabokov,fiction,5,,http://www.amazon.com/gp/product/0679723420?colid=FPQHKBWL424H&coliid=I1DTEOMJFBSIOT&ref_=wl_it_dp_o_pd_nS_ttl
The Treasure of the Sierra Madre: A Novel,B. Traven,fiction,3,,http://www.amazon.com/gp/product/0809092972?colid=FPQHKBWL424H&coliid=I32HOKOZZY0ZK1&ref_=wl_it_dp_o_pC_S_ttl
"Winesburg, Ohio",Sherwood Anderson,fiction,4,,http://www.amazon.com/gp/product/1463684266?colid=FPQHKBWL424H&coliid=I2KHDF28Z9VBGP&ref_=wl_it_dp_o_pC_nS_ttl
The Dream of a Ridiculous Man,Fyodor Dostoyevsky,fiction,3,,http://www.amazon.com/gp/product/1161461701?colid=FPQHKBWL424H&coliid=I2RY31JJUU8PXR&ref_=wl_it_dp_o_pC_S_ttl
Armageddon in Retrospect,Kurt Vonnegut,fiction,4,,http://www.amazon.com/gp/product/0425226891?colid=FPQHKBWL424H&coliid=I1AL632MRDVOUL&ref_=wl_it_dp_o_pd_S_ttl
Narcissus and Goldmund,Hermann Hesse,fiction,3,,http://www.amazon.com/gp/product/0312421672?colid=FPQHKBWL424H&coliid=I1KAK0956AHFF9&ref_=wl_it_dp_o_pC_S_ttl
War and Peace,Leo Tolstoy,fiction,4,,http://www.amazon.com/gp/product/1607103109?colid=FPQHKBWL424H&coliid=IRNZBK1KAADSL&ref_=wl_it_dp_o_pC_nS_ttl
Far away and Long ago,W. H. Hudson,fiction,4,,http://www.amazon.com/gp/product/1611043646?colid=FPQHKBWL424H&coliid=IR597MF5JZQO3&ref_=wl_it_dp_o_pd_nS_ttl
